theta_ct,Metric_1,Metric_2,Metric_3
0.0,0.9367377966581791,0.010853280614443508,0.00537890036447
0.001,0.9368173564464191,0.01202040661560485,0.00523117498038
0.002,0.9369327639201773,0.009647033723250773,0.00512230946893
0.003,0.9370933107031683,0.009511850916841095,0.00489115179877
0.004,0.937326213503531,0.009809093450661277,0.00480164887034
0.005,0.9373893039330954,0.009332167066288135,0.00470691766031
0.006,0.9373699619345024,0.008759457507150986,0.00459111619104
0.007000000000000001,0.9374911061052668,0.008445565242715176,0.0043772658399
0.008,0.9374866903426029,0.008169020811804217,0.00411173734573
0.009,0.9376511119253831,0.009186439563566094,0.00402248820495
0.01,0.937709640516723,0.008216560581983567,0.00407822231378
0.011,0.9377908999866027,0.008552599747638128,0.00427243852557
0.012,0.9378557721550194,0.009566338541043865,0.00449082587555
0.013000000000000001,0.9378757458660617,0.00957642744310809,0.00453585376654
0.014000000000000002,0.9376757925371839,0.008836461032573788,0.00449037315598
0.015,0.9377447939099003,0.00910451524891965,0.00431386950066
0.016,0.9379568315780138,0.011378611692670817,0.00419215752115
0.017,0.937846904290957,0.011311271691847332,0.00427209518916
0.018,0.9377942482337788,0.012137972142719682,0.00431118185482
0.019,0.9379716685214503,0.01376556407018102,0.00422110947029
0.02,0.9379557757578282,0.013289777359993907,0.0042793486257
