From,To,Distance,Value,Fuzzy Kappa,FKS,AAWCE,WS
Arable land,Pastures,0,25.0,0.9393536909099035,0.016752637520331695,0.00217175039138,0.216932544437
Arable land,Permanent crops,0,25.0,0.9393536909099035,0.016752637520331695,0.00217175039138,0.216932544437
Natural areas,Forest,0,61.80339887498949,0.9388665876712442,0.018218784282445482,0.0020135062142,0.21974483692
Recreation areas,Residential,1,1.25,0.9388665876712442,0.018218784282445482,0.0020135062142,0.21974483692
Permanent crops,Residential,1,1.25,0.9388665876712442,0.018218784282445482,0.0020135062142,0.21974483692
Arable land,Residential,1,1.25,0.9388665876712442,0.018218784282445482,0.0020135062142,0.21974483692
Agricultural areas,Industry & commerce,1,38.19660112501051,0.9393562347273516,0.022649362548134037,0.00288900105255,0.224514569482
Arable land,Industry & commerce,1,1.25,0.9393562347273516,0.022649362548134037,0.00288900105255,0.224514569482
Fresh water,Agricultural areas,1,1.25,0.9393562347273516,0.022649362548134037,0.00288900105255,0.224514569482
Mine & dump sites,Forest,1,76.39320225002103,0.9395693803526525,0.025796283411794838,0.00255340902174,0.236803520075
Airports,Permanent crops,1,2.5,0.9395693803526525,0.025796283411794838,0.00255340902174,0.236803520075
Agricultural areas,Pastures,1,2.5,0.9395693803526525,0.025796283411794838,0.00255340902174,0.236803520075
Agricultural areas,Permanent crops,1,1.25,0.9395693803526525,0.025796283411794838,0.00255340902174,0.236803520075
Agricultural areas,Arable land,1,1.25,0.9395693803526525,0.025796283411794838,0.00255340902174,0.236803520075
Pastures,Agricultural areas,1,2.5,0.9395693803526525,0.025796283411794838,0.00255340902174,0.236803520075
Pastures,Arable land,1,1.25,0.9395693803526525,0.025796283411794838,0.00255340902174,0.236803520075
Permanent crops,Recreation areas,1,2.5,0.9395693803526525,0.025796283411794838,0.00255340902174,0.236803520075
Permanent crops,Pastures,1,1.25,0.9395693803526525,0.025796283411794838,0.00255340902174,0.236803520075
Permanent crops,Arable land,1,5.0,0.9395693803526525,0.025796283411794838,0.00255340902174,0.236803520075
Arable land,Agricultural areas,1,1.25,0.9395693803526525,0.025796283411794838,0.00255340902174,0.236803520075
Arable land,Pastures,1,1.25,0.9395693803526525,0.025796283411794838,0.00255340902174,0.236803520075
Arable land,Permanent crops,1,1.25,0.9395693803526525,0.025796283411794838,0.00255340902174,0.236803520075
Natural areas,Forest,1,5.0,0.9395693803526525,0.025796283411794838,0.00255340902174,0.236803520075
