theta_st,Metric_1,Metric_2,Metric_3
0.0,0.8909497955454341,0.007251284045990184,0.0571096692827
0.005,0.8955444693915185,0.06128181922534891,0.0454012460825
0.01,0.8969056256290749,0.10158925070008108,0.0312602895135
0.015000000000000003,0.8946315831703167,0.1166182493445466,0.0223953409802
0.02,0.8920126418895611,0.11926659291765906,0.0180222564581
0.025,0.891265869765735,0.12248879630689745,0.0152965237073
0.030000000000000006,0.8909824005322894,0.12446136868872387,0.0127223623811
0.035,0.891193964055554,0.1269504221594519,0.00968337091413
0.04,0.8908199780476237,0.1277851055019305,0.00932609687979
0.045,0.8900827151511419,0.12850632161735898,0.0125895001242
0.05,0.8887002098281408,0.12826895354633291,0.0157999821383
0.05500000000000001,0.8869301465655217,0.12861248540833928,0.0186440249221
0.06000000000000001,0.8841416633627206,0.12733392517489828,0.0219160019238
0.065,0.8812583411412028,0.12599159193794973,0.0254060765665
0.07,0.8780112729082088,0.12569065131121132,0.0290070669648
0.075,0.8743201712007278,0.12406667554853086,0.0323514002857
0.08,0.8704830004735152,0.12311042801738492,0.0354866911011
0.085,0.8665257151159921,0.12123382089011221,0.0383325221765
0.09,0.8625988055911185,0.12130681321140181,0.0411040624108
0.095,0.8592276667466637,0.121864495240943,0.0435733750317
0.1,0.8556336448219859,0.11982425150979971,0.0459060343734
